date,sales,unit_purchase_cost,fixed_order_cost,,,holding_cost_rate,shortage_cost,,2025,
6/6/2022,29,57.84,154.9,,,,,,,
6/7/2022,27,56.7,188.46,,,,,,,
6/8/2022,20,47.69,203.18,,,,,,,
6/9/2022,20,47.69,189.3,,,,,,,
6/10/2022,28,47.68,207.94,,,,,,,
6/11/2022,31,60.37,164.4,,,,,,,
6/12/2022,25,56.11,176.75,,,,,,,
6/13/2022,25,45.64,171.41,,,,,,,
6/14/2022,28,51.45,201.01,,,,,,,
6/15/2022,22,54.28,150.6,,,,,,,
6/16/2022,29,50.69,186.01,,,,,,,
6/17/2022,30,62.44,200.77,,,,,,,
6/18/2022,30,53.73,125.53,,,,,,,
6/19/2022,31,45.74,133.4,,,,,,,
6/20/2022,27,46.36,189.08,,,,,,,
6/21/2022,21,49.6,202.68,,,,,,,
6/22/2022,24,58.79,205.41,,,,,,,
6/23/2022,28,44.48,142.52,,,,,,,
6/24/2022,22,50.93,157.65,,,,,,,
6/25/2022,26,47.3,136.9,,,,,,,
6/26/2022,32,56.09,175,,,,,,,
6/27/2022,30,45.93,212.4,,,,,,,
6/28/2022,32,59.42,141.41,,,,,,,
6/29/2022,22,46.73,189.31,,,,,,,
6/30/2022,24,51.22,139.65,,,,,,,
7/1/2022,22,49.59,115.7,,,,,,,
7/2/2022,22,55.57,146.09,,,,,,,
7/3/2022,27,45.66,168.47,,,,,,,
7/4/2022,20,59.54,202.44,,,,,,,
7/5/2022,20,47.35,127.5,,,,,,,
7/6/2022,21,52.29,193.19,,,,,,,
7/7/2022,25,43.79,168.59,,,,,,,
7/8/2022,31,61.85,154.66,,,,,,,
7/9/2022,25,48.85,178.33,,,,,,,
7/10/2022,24,56.93,187.63,,,,,,,
7/11/2022,21,54.63,127.55,,,,,,,
7/12/2022,20,43.4,160.62,,,,,,,
7/13/2022,21,51.02,131.44,,,,,,,
7/14/2022,29,45.06,167.91,,,,,,,
7/15/2022,25,53.55,163.98,,,,,,,
7/16/2022,25,59.84,203.54,,,,,,,
7/17/2022,26,46.43,116.84,,,,,,,
7/18/2022,28,44.35,116.69,,,,,,,
7/19/2022,26,49.15,141.71,,,,,,,
7/20/2022,33,52.31,120.91,,,,,,,
7/21/2022,23,46.37,136.82,,,,,,,
7/22/2022,23,53.11,155.76,,,,,,,
7/23/2022,30,42.86,180.97,,,,,,,
7/24/2022,22,45.59,159.82,,,,,,,
7/25/2022,21,50.89,200.85,,,,,,,
7/26/2022,31,57.27,133.81,,,,,,,
7/27/2022,28,44.75,178.01,,,,,,,
7/28/2022,25,56.36,152.59,,,,,,,
7/29/2022,33,58.82,188.93,,,,,,,
7/30/2022,28,54.2,186.77,,,,,,,
7/31/2022,28,54.41,144.26,,,,,,,
8/1/2022,25,47,127.33,,,,,,,
8/2/2022,24,58.95,125.05,,,,,,,
8/3/2022,34,44.55,147.43,,,,,,,
8/4/2022,24,61.84,154.03,,,,,,,
8/5/2022,28,52.59,179.79,,,,,,,
8/6/2022,25,62.36,160.02,,,,,,,
8/7/2022,21,54.97,151.86,,,,,,,
8/8/2022,27,55.78,209.18,,,,,,,
8/9/2022,30,53.66,156.25,,,,,,,
8/10/2022,27,56.44,135.63,,,,,,,
8/11/2022,27,52.43,211.9,,,,,,,
8/12/2022,33,43.51,133.75,,,,,,,
8/13/2022,28,50.41,114.99,,,,,,,
8/14/2022,24,47.32,210.85,,,,,,,
8/15/2022,29,60.16,187.04,,,,,,,
8/16/2022,23,45.06,179.49,,,,,,,
8/17/2022,28,49.33,143.04,,,,,,,
8/18/2022,34,51.9,156.65,,,,,,,
8/19/2022,22,58.15,160.58,,,,,,,
8/20/2022,22,49.51,177.04,,,,,,,
8/21/2022,26,52.73,153.53,,,,,,,
8/22/2022,22,42.9,133.31,,,,,,,
8/23/2022,24,49.04,179.86,,,,,,,
8/24/2022,29,49.98,131.07,,,,,,,
8/25/2022,32,43.35,166.49,,,,,,,
8/26/2022,33,60.57,181.89,,,,,,,
8/27/2022,29,57.4,185.69,,,,,,,
8/28/2022,33,58.06,113.77,,,,,,,
8/29/2022,25,61.59,182.17,,,,,,,
8/30/2022,34,54.66,167.9,,,,,,,
8/31/2022,33,60.13,127.54,,,,,,,
9/1/2022,34,54.16,206.91,,,,,,,
9/2/2022,23,44.09,170.5,,,,,,,
9/3/2022,34,56.02,134.91,,,,,,,
9/4/2022,24,57.9,211.68,,,,,,,
9/5/2022,25,44.15,187.59,,,,,,,
9/6/2022,30,47.05,124.09,,,,,,,
9/7/2022,35,48.65,181.78,,,,,,,
9/8/2022,25,55.7,116.59,,,,,,,
9/9/2022,27,51.64,141.1,,,,,,,
9/10/2022,29,47.48,116.54,,,,,,,
9/11/2022,32,51.08,164.78,,,,,,,
9/12/2022,32,54.35,115.08,,,,,,,
9/13/2022,28,45.65,200.95,,,,,,,
9/14/2022,32,49.62,160.19,,,,,,,
9/15/2022,32,44.52,183.49,,,,,,,
9/16/2022,26,48.9,138.04,,,,,,,
9/17/2022,35,49.41,114.98,,,,,,,
9/18/2022,35,55.19,131.28,,,,,,,
9/19/2022,31,46.87,194.01,,,,,,,
9/20/2022,23,42.24,166.36,,,,,,,
9/21/2022,25,50.53,160.68,,,,,,,
9/22/2022,34,43.91,203.41,,,,,,,
9/23/2022,23,48.78,163.32,,,,,,,
9/24/2022,31,61.44,207.32,,,,,,,
9/25/2022,26,56.25,168.74,,,,,,,
9/26/2022,27,45.64,136.02,,,,,,,
9/27/2022,30,44.71,207.8,,,,,,,
9/28/2022,29,43.76,211.44,,,,,,,
9/29/2022,36,61.55,114.91,,,,,,,
9/30/2022,30,60.05,156.38,,,,,,,
10/1/2022,32,46.52,138.71,,,,,,,
10/2/2022,25,48.42,206.24,,,,,,,
10/3/2022,26,59.44,120.75,,,,,,,
10/4/2022,30,51.28,140.72,,,,,,,
10/5/2022,25,49.87,125.01,,,,,,,
10/6/2022,24,56.68,127.42,,,,,,,
10/7/2022,23,58.35,121.57,,,,,,,
10/8/2022,32,60.28,166.99,,,,,,,
10/9/2022,27,49.31,181.86,,,,,,,
10/10/2022,24,60.37,143.62,,,,,,,
10/11/2022,32,49.63,120.5,,,,,,,
10/12/2022,36,53.46,210.21,,,,,,,
10/13/2022,27,55.69,149.29,,,,,,,
10/14/2022,26,58.47,196.27,,,,,,,
10/15/2022,27,51.64,161.3,,,,,,,
10/16/2022,27,46.59,198.9,,,,,,,
10/17/2022,27,61.23,211.63,,,,,,,
10/18/2022,32,56.04,187.26,,,,,,,
10/19/2022,24,43.49,134.51,,,,,,,
10/20/2022,29,54.59,207.08,,,,,,,
10/21/2022,36,48.56,210.87,,,,,,,
10/22/2022,33,59.33,190.18,,,,,,,
10/23/2022,24,48.9,206.96,,,,,,,
10/24/2022,34,56.56,210.1,,,,,,,
10/25/2022,30,43.92,132.48,,,,,,,
10/26/2022,33,47.87,172.39,,,,,,,
10/27/2022,28,54.83,202.82,,,,,,,
10/28/2022,29,49.13,210.91,,,,,,,
10/29/2022,27,48.64,132.08,,,,,,,
10/30/2022,36,52.94,141.59,,,,,,,
10/31/2022,32,60.24,148.94,,,,,,,
11/1/2022,33,49.94,209.84,,,,,,,
11/2/2022,36,42.74,201.73,,,,,,,
11/3/2022,30,51.46,188.37,,,,,,,
11/4/2022,36,51.16,127.92,,,,,,,
11/5/2022,34,46.19,150.12,,,,,,,
11/6/2022,34,54.39,157.48,,,,,,,
11/7/2022,31,44.39,173.7,,,,,,,
11/8/2022,25,44.44,144.2,,,,,,,
11/9/2022,35,42.28,165.01,,,,,,,
11/10/2022,35,52.19,127.94,,,,,,,
11/11/2022,26,58.13,139.6,,,,,,,
11/12/2022,35,48.13,161.58,,,,,,,
11/13/2022,27,47.43,207.28,,,,,,,
11/14/2022,37,47.81,163.44,,,,,,,
11/15/2022,29,53.94,165.12,,,,,,,
11/16/2022,31,51.77,136.47,,,,,,,
11/17/2022,30,46.71,195.21,,,,,,,
11/18/2022,27,53.92,137.71,,,,,,,
11/19/2022,25,56.82,140.02,,,,,,,
11/20/2022,26,53.04,114.96,,,,,,,
11/21/2022,32,54.78,176.27,,,,,,,
11/22/2022,29,52.89,183.76,,,,,,,
11/23/2022,31,53.25,189.54,,,,,,,
11/24/2022,38,49.83,154.96,,,,,,,
11/25/2022,33,47.34,146.03,,,,,,,
11/26/2022,36,54.08,131.77,,,,,,,
11/27/2022,34,54.93,147.84,,,,,,,
11/28/2022,38,50.58,166.76,,,,,,,
11/29/2022,35,59.04,207.34,,,,,,,
11/30/2022,34,48.35,164.18,,,,,,,
12/1/2022,34,48.13,150.12,,,,,,,
12/2/2022,26,47.16,130.75,,,,,,,
12/3/2022,27,61.28,197.15,,,,,,,
12/4/2022,37,46.43,128.6,,,,,,,
12/5/2022,29,58.7,119.35,,,,,,,
12/6/2022,37,55.6,202.64,,,,,,,
12/7/2022,28,50.56,182.7,,,,,,,
12/8/2022,26,43.05,197.05,,,,,,,
12/9/2022,31,47.68,131,,,,,,,
12/10/2022,35,50.91,184.72,,,,,,,
12/11/2022,33,54.63,116.19,,,,,,,
12/12/2022,38,45.5,194.44,,,,,,,
12/13/2022,29,59.12,212.48,,,,,,,
12/14/2022,27,48.53,121.67,,,,,,,
12/15/2022,28,52.43,128.56,,,,,,,
12/16/2022,30,60.71,189.96,,,,,,,
12/17/2022,37,57.18,183.4,,,,,,,
12/18/2022,37,47.76,125.72,,,,,,,
12/19/2022,26,48.82,125.46,,,,,,,
12/20/2022,28,50.81,120.05,,,,,,,
12/21/2022,29,54.8,116.45,,,,,,,
12/22/2022,30,48.11,174.75,,,,,,,
12/23/2022,33,43.71,195.06,,,,,,,
12/24/2022,31,54.2,177.46,,,,,,,
12/25/2022,26,56.13,147.89,,,,,,,
12/26/2022,38,46.48,120.39,,,,,,,
12/27/2022,37,49.31,170.97,,,,,,,
12/28/2022,39,42.46,200.14,,,,,,,
12/29/2022,33,46.11,179.38,,,,,,,
12/30/2022,39,44.91,173.47,,,,,,,
12/31/2022,27,47.34,178.47,,,,,,,
1/1/2023,35,45.84,201.8,,,,,,,
1/2/2023,37,53.44,165.83,,,,,,,
1/3/2023,33,42.75,122.89,,,,,,,
1/4/2023,30,57.15,176.68,,,,,,,
1/5/2023,32,43.88,155.77,,,,,,,
1/6/2023,30,44.38,144.57,,,,,,,
1/7/2023,35,49.23,128.5,,,,,,,
1/8/2023,28,52.24,123.98,,,,,,,
1/9/2023,31,42.26,115.11,,,,,,,
1/10/2023,30,52.45,140.52,,,,,,,
1/11/2023,33,52.95,189.12,,,,,,,
1/12/2023,31,41.62,136.25,,,,,,,
1/13/2023,39,45.21,147.12,,,,,,,
1/14/2023,33,52.17,181.42,,,,,,,
1/15/2023,29,51.13,136.93,,,,,,,
1/16/2023,37,49.67,154.2,,,,,,,
1/17/2023,35,59.41,145.61,,,,,,,
1/18/2023,31,49.73,136.89,,,,,,,
1/19/2023,40,59.65,149.92,,,,,,,
1/20/2023,28,48.78,169.74,,,,,,,
1/21/2023,40,49.07,179.67,,,,,,,
1/22/2023,35,47.48,185.87,,,,,,,
1/23/2023,31,53.52,177.77,,,,,,,
1/24/2023,31,58.57,130.2,,,,,,,
1/25/2023,34,56.45,176.53,,,,,,,
1/26/2023,39,59.64,177.58,,,,,,,
1/27/2023,30,59.99,115.12,,,,,,,
1/28/2023,39,49.61,144.16,,,,,,,
1/29/2023,32,52.37,131.45,,,,,,,
1/30/2023,40,59.56,141.03,,,,,,,
1/31/2023,39,44.83,192.43,,,,,,,
2/1/2023,35,43.67,173.81,,,,,,,
2/2/2023,38,41.33,195.19,,,,,,,
2/3/2023,41,46.72,205.11,,,,,,,
2/4/2023,29,45.37,139.57,,,,,,,
2/5/2023,38,59.65,173.86,,,,,,,
2/6/2023,41,59.09,185.71,,,,,,,
2/7/2023,34,48.89,203.02,,,,,,,
2/8/2023,35,50.89,200.1,,,,,,,
2/9/2023,31,43.5,172.3,,,,,,,
2/10/2023,29,51.84,148.65,,,,,,,
2/11/2023,34,46.81,123.32,,,,,,,
2/12/2023,28,51.07,205.24,,,,,,,
2/13/2023,36,50.61,127.82,,,,,,,
2/14/2023,38,46.34,113.42,,,,,,,
2/15/2023,36,51.88,136.42,,,,,,,
2/16/2023,30,43.36,121.7,,,,,,,
2/17/2023,30,54.26,190.2,,,,,,,
2/18/2023,29,55.43,213.01,,,,,,,
2/19/2023,32,42.24,191.17,,,,,,,
2/20/2023,34,50.06,128.35,,,,,,,
2/21/2023,32,44.4,159.78,,,,,,,
2/22/2023,33,58.3,123.59,,,,,,,
2/23/2023,34,44.48,120.09,,,,,,,
2/24/2023,32,49.73,176.56,,,,,,,
2/25/2023,39,59.21,188.51,,,,,,,
2/26/2023,32,51.46,191.88,,,,,,,
2/27/2023,37,52.71,138.46,,,,,,,
2/28/2023,36,45.32,172.95,,,,,,,
3/1/2023,29,45.39,134.27,,,,,,,
3/2/2023,32,44.67,144.36,,,,,,,
3/3/2023,39,54.61,150.92,,,,,,,
3/4/2023,37,45.3,175.34,,,,,,,
3/5/2023,41,44.75,185.4,,,,,,,
3/6/2023,30,52.93,157.46,,,,,,,
3/7/2023,30,51.16,162.33,,,,,,,
3/8/2023,29,41.51,130.25,,,,,,,
3/9/2023,32,59.93,180.83,,,,,,,
3/10/2023,31,54.4,209.39,,,,,,,
3/11/2023,39,40.81,204.62,,,,,,,
3/12/2023,39,53.72,178.75,,,,,,,
3/13/2023,34,45.04,171.92,,,,,,,
3/14/2023,38,53.63,119.83,,,,,,,
3/15/2023,38,54.51,175.46,,,,,,,
3/16/2023,34,42.07,164.03,,,,,,,
3/17/2023,37,42.67,211.95,,,,,,,
3/18/2023,41,41.4,207.87,,,,,,,
3/19/2023,36,44.9,212.34,,,,,,,
3/20/2023,33,50.1,182.56,,,,,,,
3/21/2023,38,47.05,172.93,,,,,,,
3/22/2023,33,41.39,192.87,,,,,,,
3/23/2023,32,56.11,197.77,,,,,,,
3/24/2023,39,51.65,146.83,,,,,,,
3/25/2023,35,52.13,205.36,,,,,,,
3/26/2023,34,48,193.26,,,,,,,
3/27/2023,40,54.3,173.58,,,,,,,
3/28/2023,32,46.71,197.27,,,,,,,
3/29/2023,41,56.32,187.61,,,,,,,
3/30/2023,37,45.69,169.8,,,,,,,
3/31/2023,32,54.64,151.37,,,,,,,
4/1/2023,43,46.4,179.56,,,,,,,
4/2/2023,42,50.81,190.26,,,,,,,
4/3/2023,37,53.09,169.58,,,,,,,
4/4/2023,37,49.14,114.64,,,,,,,
4/5/2023,34,58.97,163.07,,,,,,,
4/6/2023,39,44.75,123.95,,,,,,,
4/7/2023,33,41.09,171.12,,,,,,,
4/8/2023,33,54.66,122.77,,,,,,,
4/9/2023,31,54.89,161.18,,,,,,,
4/10/2023,33,56.83,171.69,,,,,,,
4/11/2023,31,44.84,198.89,,,,,,,
4/12/2023,39,55.4,190.65,,,,,,,
4/13/2023,31,59.38,192.04,,,,,,,
4/14/2023,37,40.5,211.15,,,,,,,
4/15/2023,36,54.68,177.51,,,,,,,
4/16/2023,36,43.75,167.92,,,,,,,
4/17/2023,31,59.06,170.81,,,,,,,
4/18/2023,36,47.27,168.01,,,,,,,
4/19/2023,43,51.68,209,,,,,,,
4/20/2023,39,42.24,183.55,,,,,,,
4/21/2023,32,51.73,145.76,,,,,,,
4/22/2023,40,58.45,119.85,,,,,,,
4/23/2023,32,51.24,149.41,,,,,,,
4/24/2023,42,45.13,177.25,,,,,,,
4/25/2023,31,53.45,175.49,,,,,,,
4/26/2023,34,48.65,142.74,,,,,,,
4/27/2023,40,43.8,162.44,,,,,,,
4/28/2023,35,56.04,173.87,,,,,,,
4/29/2023,39,41.49,177.64,,,,,,,
4/30/2023,32,48.45,204.76,,,,,,,
5/1/2023,37,58,135,,,,,,,
5/2/2023,34,44.55,211.1,,,,,,,
5/3/2023,32,53,162.02,,,,,,,
5/4/2023,44,51.08,144.69,,,,,,,
5/5/2023,43,52.46,126.55,,,,,,,
5/6/2023,37,58.16,177.08,,,,,,,
5/7/2023,38,45.66,206.15,,,,,,,
5/8/2023,43,47.21,189.59,,,,,,,
5/9/2023,31,52.85,159.92,,,,,,,
5/10/2023,32,50.94,152.68,,,,,,,
5/11/2023,42,50.23,143.1,,,,,,,
5/12/2023,33,59.79,143.37,,,,,,,
5/13/2023,44,51.98,147,,,,,,,
5/14/2023,38,42.96,194.51,,,,,,,
5/15/2023,42,53.96,187.65,,,,,,,
5/16/2023,34,55.96,190.3,,,,,,,
5/17/2023,33,43.6,172.32,,,,,,,
5/18/2023,39,45.44,181.11,,,,,,,
5/19/2023,40,51.89,123.82,,,,,,,
5/20/2023,43,43.54,148.39,,,,,,,
5/21/2023,39,50.46,167.5,,,,,,,
5/22/2023,39,51.76,134.04,,,,,,,
5/23/2023,39,43.75,187.43,,,,,,,
5/24/2023,42,55.13,165.67,,,,,,,
5/25/2023,45,42.45,163.15,,,,,,,
5/26/2023,45,56.49,154.62,,,,,,,
5/27/2023,36,42.01,203.83,,,,,,,
5/28/2023,39,45.54,198.13,,,,,,,
5/29/2023,32,58.83,186.69,,,,,,,
5/30/2023,44,48.47,124.72,,,,,,,
5/31/2023,38,40.27,137.64,,,,,,,
6/1/2023,34,42.7,114.61,,,,,,,
6/2/2023,35,41.63,202.52,,,,,,,
6/3/2023,33,44.32,163,,,,,,,
6/4/2023,42,48.69,199.52,,,,,,,
6/5/2023,39,41.21,165.04,,,,,,,
6/6/2023,40,43.39,167.37,,,,,,,
6/7/2023,35,57.39,209.75,,,,,,,
6/8/2023,42,45.19,119.95,,,,,,,
6/9/2023,44,51.16,177.13,,,,,,,
6/10/2023,42,52.78,193.1,,,,,,,
6/11/2023,34,57.49,149.51,,,,,,,
6/12/2023,33,43.56,201.79,,,,,,,
6/13/2023,35,40.86,154.93,,,,,,,
6/14/2023,37,57.29,117.48,,,,,,,
6/15/2023,43,48.81,173.44,,,,,,,
6/16/2023,44,49.05,119.79,,,,,,,
6/17/2023,36,42.58,182.77,,,,,,,
6/18/2023,35,44.54,124,,,,,,,
6/19/2023,43,45.95,182.46,,,,,,,
6/20/2023,39,48.77,131.28,,,,,,,
6/21/2023,38,41.1,120.1,,,,,,,
6/22/2023,33,57.35,165.3,,,,,,,
6/23/2023,39,42.07,129.52,,,,,,,
6/24/2023,44,46.17,175.86,,,,,,,
6/25/2023,42,53.55,169.45,,,,,,,
6/26/2023,45,54.93,182.5,,,,,,,
6/27/2023,45,45.11,179.4,,,,,,,
6/28/2023,45,55.42,210.45,,,,,,,
6/29/2023,39,56.79,205.94,,,,,,,
6/30/2023,35,53.84,120.44,,,,,,,
7/1/2023,44,46.31,127.42,,,,,,,
7/2/2023,36,50.41,162.01,,,,,,,
7/3/2023,34,45.56,114.75,,,,,,,
7/4/2023,42,41.05,161.41,,,,,,,
7/5/2023,38,42.88,165.73,,,,,,,
7/6/2023,40,40.01,130.9,,,,,,,
7/7/2023,38,50.41,123.26,,,,,,,
7/8/2023,46,49.56,194.71,,,,,,,
7/9/2023,35,47.73,202.65,,,,,,,
7/10/2023,45,54.42,130.91,,,,,,,
7/11/2023,38,54.56,176.66,,,,,,,
7/12/2023,45,44.94,115.23,,,,,,,
7/13/2023,35,50.32,187.14,,,,,,,
7/14/2023,44,57.54,129.5,,,,,,,
7/15/2023,46,47.41,166.67,,,,,,,
7/16/2023,46,41.37,148.45,,,,,,,
7/17/2023,37,56.93,149.32,,,,,,,
7/18/2023,46,46.19,165.15,,,,,,,
7/19/2023,46,55.05,116.6,,,,,,,
7/20/2023,45,54.93,200.64,,,,,,,
7/21/2023,46,55.43,202.96,,,,,,,
7/22/2023,35,45.41,178.25,,,,,,,
7/23/2023,46,47.08,171.71,,,,,,,
7/24/2023,40,53.69,125.49,,,,,,,
7/25/2023,47,42.57,143.55,,,,,,,
7/26/2023,42,50.2,204.08,,,,,,,
7/27/2023,41,58.49,196.93,,,,,,,
7/28/2023,39,39.93,153.41,,,,,,,
7/29/2023,43,58.22,182.83,,,,,,,
7/30/2023,43,56.04,149.09,,,,,,,
